,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
2813,0.16,0.18,0.95,1,0.5,100,100
2814,0.2,0.2,0.92,1,0.5,100,100
2815,0.16,0.18,0.92,1,0.5,100,100
2816,0.25,0.25,0.95,1,0.5,100,100
2817,0.2,0.2,0.95,1,0.5,100,100
2818,0.16,0.17,0.93,1,0.5,100,100
2819,0.2,0.23,0.91,1,0.5,100,100
2820,1.0,1.0,1.0,1,0.5,1000,1
2821,0.0,0.0,1.0,0,0.5,1000,1
2822,0.0,0.0,1.0,0,0.5,1000,1
2823,0.0,0.0,1.0,0,0.5,1000,1
2824,0.0,1.0,0.0,0,0.5,1000,1
2825,0.0,0.0,1.0,0,0.5,1000,1
2826,0.0,0.0,1.0,0,0.5,1000,1
2827,1.0,1.0,1.0,1,0.5,1000,1
2828,1.0,1.0,1.0,1,0.5,1000,1
2829,0.0,0.0,1.0,0,0.5,1000,1
2830,0.3,0.4,0.8,1,0.5,1000,10
2831,0.3,0.3,1.0,1,0.5,1000,10
2832,0.2,0.2,1.0,1,0.5,1000,10
2833,0.3,0.3,1.0,1,0.5,1000,10
2834,0.1,0.1,0.9,1,0.5,1000,10
2835,0.0,0.1,0.9,0,0.5,1000,10
2836,0.4,0.4,1.0,1,0.5,1000,10
2837,0.0,0.0,0.9,0,0.5,1000,10
2838,0.3,0.3,1.0,1,0.5,1000,10
2839,0.3,0.3,1.0,1,0.5,1000,10
2840,0.28,0.31,0.95,1,0.5,1000,100
2841,0.33,0.35,0.94,1,0.5,1000,100
2842,0.29,0.31,0.94,1,0.5,1000,100
2843,0.24,0.24,0.98,1,0.5,1000,100
2844,0.21,0.24,0.93,1,0.5,1000,100
2845,0.32,0.34,0.91,1,0.5,1000,100
2846,0.24,0.28,0.94,1,0.5,1000,100
2847,0.23,0.25,0.93,1,0.5,1000,100
2848,0.28,0.29,0.95,1,0.5,1000,100
2849,0.2,0.22,0.89,1,0.5,1000,100
2850,0.0,0.0,1.0,0,0.5,0,1
2851,0.0,0.0,1.0,0,0.5,0,1
2852,0.0,0.0,1.0,0,0.5,0,1
2853,0.0,0.0,1.0,0,0.5,0,1
2854,0.0,0.0,1.0,0,0.5,0,1
2855,0.0,0.0,1.0,0,0.5,0,1
2856,0.0,0.0,1.0,0,0.5,0,1
2857,0.0,0.0,1.0,0,0.5,0,1
2858,0.0,0.0,1.0,0,0.5,0,1
2859,0.0,0.0,1.0,0,0.5,0,1
2860,0.0,0.0,1.0,0,0.5,0,10
2861,0.0,0.0,1.0,0,0.5,0,10
2862,0.0,0.0,1.0,0,0.5,0,10
2863,0.1,0.1,1.0,1,0.5,0,10
2864,0.0,0.0,1.0,0,0.5,0,10
2865,0.0,0.0,1.0,0,0.5,0,10
2866,0.0,0.0,1.0,0,0.5,0,10
2867,0.0,0.0,1.0,0,0.5,0,10
2868,0.0,0.0,1.0,0,0.5,0,10
2869,0.0,0.0,1.0,0,0.5,0,10
2870,0.01,0.01,1.0,1,0.5,0,100
2871,0.01,0.01,1.0,1,0.5,0,100
2872,0.0,0.0,1.0,0,0.5,0,100
2873,0.02,0.02,1.0,1,0.5,0,100
2874,0.0,0.0,1.0,0,0.5,0,100
2875,0.01,0.01,1.0,1,0.5,0,100
2876,0.0,0.0,0.99,0,0.5,0,100
2877,0.01,0.01,1.0,1,0.5,0,100
2878,0.01,0.01,1.0,1,0.5,0,100
2879,0.01,0.01,1.0,1,0.5,0,100
2880,0.0,0.0,1.0,0,0.5,1,1
2881,0.0,0.0,1.0,0,0.5,1,1
2882,0.0,0.0,1.0,0,0.5,1,1
2883,0.0,0.0,1.0,0,0.5,1,1
2884,0.0,0.0,1.0,0,0.5,1,1
2885,0.0,0.0,1.0,0,0.5,1,1
2886,0.0,0.0,1.0,0,0.5,1,1
2887,0.0,0.0,1.0,0,0.5,1,1
2888,0.0,0.0,1.0,0,0.5,1,1
2889,0.0,0.0,1.0,0,0.5,1,1
2890,0.0,0.0,1.0,0,0.5,1,10
2891,0.1,0.1,1.0,1,0.5,1,10
2892,0.1,0.1,1.0,1,0.5,1,10
2893,0.0,0.0,1.0,0,0.5,1,10
2894,0.0,0.0,1.0,0,0.5,1,10
2895,0.1,0.1,1.0,1,0.5,1,10
2896,0.0,0.0,1.0,0,0.5,1,10
2897,0.0,0.0,1.0,0,0.5,1,10
2898,0.0,0.0,1.0,0,0.5,1,10
2899,0.1,0.1,1.0,1,0.5,1,10
2900,0.0,0.01,0.98,0,0.5,1,100
2901,0.01,0.01,1.0,1,0.5,1,100
2902,0.01,0.01,0.99,1,0.5,1,100
2903,0.01,0.01,1.0,1,0.5,1,100
2904,0.02,0.02,0.99,1,0.5,1,100
2905,0.01,0.01,1.0,1,0.5,1,100
2906,0.03,0.03,0.99,1,0.5,1,100
2907,0.01,0.01,0.99,1,0.5,1,100
2908,0.03,0.03,0.99,1,0.5,1,100
2909,0.02,0.02,1.0,1,0.5,1,100
2910,0.0,0.0,1.0,0,0.5,10,1
2911,0.0,0.0,1.0,0,0.5,10,1
2912,1.0,1.0,1.0,1,0.5,10,1
2913,0.0,0.0,1.0,0,0.5,10,1
