smiles,value
COc1cc(C)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,5.7
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12,5.7
CC(=O)Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1,6.75
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc1,6.4034
Nc1cc2ncnc(Nc3cccc([N+](=O)[O-])c3)c2cn1,7.4
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,6.41
CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cs1,7.46005
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.37
Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2C)c1,5.7
O=C(Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12)N1CCOCC1,8.31966
O=[N+]([O-])c1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,6.57
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CC=CN(C)C,9.64
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.96
CC(C)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4n3CCC4)nn12,6.1
CNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCF,9.54
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,5.63
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCCC1,7.06
CCCC(=O)Nc1nn(C(=O)CC)c2nc3ccccc3cc12,5.7
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.75
